ENSDARG00000042370	1	chr17	-	27971144	27976031	27972332,	27975916,
ENSDARG00000059365	1	chr21	-	26097732	26114886	26099841,26100085,26108661,26108789,26113256,	26099925,26108571,26108733,26112993,26114597,
ENSDARG00000031954	1	chr22	-	10145098	10158038	10146163,10146790,10147961,10148227,10150788,10151050,10152778,10153450,10153732,10156200,10156443,10156574,	10146647,10147863,10148048,10150677,10150869,10152602,10153356,10153534,10156104,10156299,10156522,10157959,
ENSDARG00000100780	1	chr4	-	77349261	77380592	77349642,77354520,77354732,77357926,77358388,77361259,77362241,77366153,77366436,77368859,77371581,77373037,77377390,77377596,77380396,	77354403,77354668,77357742,77358223,77361064,77362077,77365923,77366338,77368713,77371460,77372905,77377249,77377498,77380324,77380491,
ENSDARG00000038855	1	chr2	+	30894595	30901120	30894759,30894985,30896890,30897150,30897772,30898012,30898202,	30894881,30896844,30897057,30897701,30897904,30898087,30900791,
ENSDARG00000014556	1	chr24	+	42148140	42157913	42148226,42150361,42153319,42153519,42153807,42155259,	42150193,42153179,42153402,42153665,42155092,42157458,
ENSDARG00000044345	1	chr6	+	37655078	37730907	37655298,37668657,37669509,37672006,37672215,37672473,37675212,37675602,37676824,37677069,37680344,37684771,37691206,37692226,37692454,37697643,37700518,37700723,37700950,37702763,37702982,37704042,37707772,37715502,37715831,37717053,37725729,37725926,37728573,37729997,	37668537,37669420,37671929,37672114,37672292,37675116,37675474,37676720,37676978,37680227,37684649,37691081,37692060,37692307,37697490,37700362,37700627,37700874,37702655,37702863,37703843,37707685,37715359,37715741,37716923,37725657,37725832,37728335,37729850,37730085,
ENSDARG00000113690	1	chr4	-	54320258	54338253	54321154,54321515,54322816,54326471,54326791,54329138,54337247,	54321469,54322643,54326298,54326618,54327320,54336969,54338181,
ENSDARG00000101411	1	chr3	-	1395079	1400309	1396129,1397362,1397809,1398001,1398276,1398514,	1397177,1397537,1397894,1398109,1398381,1400174,
ENSDARG00000088411	1	chr6	-	10943188	10964083	10945444,10950605,10953568,10953773,10956416,10959925,10960082,10960516,10960714,10962327,	10950558,10953421,10953673,10956228,10959826,10960006,10960456,10960619,10962275,10963366,
ENSDARG00000040133	1	chr24	+	11381400	11390669	11381453,	11387037,
ENSDARG00000025212	1	chr23	-	37057603	37085968	37062430,37065212,37068239,37068592,37069646,37071388,37073717,37073899,37075449,37075885,37076555,37077542,37077733,37081019,37083101,37083308,	37065083,37068097,37068531,37069536,37071226,37073628,37073816,37075260,37075821,37076417,37077508,37077635,37080791,37083028,37083211,37085250,
ENSDARG00000056024	1	chr10	-	33580285	33588310	33580787,33582876,33583043,33583588,33585044,33585256,33586989,33588106,	33582793,33582966,33583445,33584895,33585133,33586793,33587797,33588225,
ENSDARG00000037553	1	chr14	-	9717678	10321851	9718363,9737773,9740024,9748223,9769857,9821831,9955169,9956524,9982581,10260543,	9737603,9739884,9748078,9769728,9821757,9955016,9956338,9982308,10260445,10321497,
ENSDARG00000101085	1	chr18	+	328689	330937	328934,329864,	329788,330342,
ENSDARG00000056023	1	chr3	+	23677351	23682436	23678014,	23680524,
ENSDARG00000100882	1	chr22	+	1700552	1704666	1700581,1701441,	1701338,1703688,
ENSDARG00000052037	1	chr1	+	58039551	58049515	58040038,58042304,58042696,58046030,58046255,	58042209,58042475,58046008,58046137,58047067,
ENSDARG00000043141	1	chr17	+	33311784	33339480	33312502,33314500,33315435,33315649,33315839,33317795,33320019,33320328,33320874,33321063,33323238,33323653,33325063,33327440,33327859,33330010,33330307,33332999,	33313566,33315286,33315519,33315728,33317668,33319861,33320097,33320686,33320963,33323037,33323558,33324891,33327359,33327701,33329864,33330215,33332885,33337984,
ENSDARG00000037109	0	chr1	-	28898945	28950366	28899672,28899902,28900420,28900740,28900991,28901238,28912441,28913771,28914026,28923353,28923785,28924272,28924423,28926743,28929796,28940032,28943677,28943874,28949862,28950091,	28899828,28900270,28900522,28900926,28901130,28912294,28913591,28913876,28923206,28923637,28924136,28924353,28926600,28929531,28939897,28943534,28943775,28949768,28949979,28950263,
ENSDARG00000104129	1	chr7	-	38787831	38792543	38788250,38788614,38790394,38792147,	38788424,38790263,38791980,38792383,
ENSDARG00000042147	1	chr22	-	770001	784110	770372,773170,775122,775775,776946,777110,777379,777836,778051,779339,781051,781397,783654,	773093,774881,775706,776829,777039,777226,777717,777942,779177,780911,781225,783629,783951,
ENSDARG00000086261	1	chr15	+	32268790	32287978	32268953,32270379,32273842,32276291,32278883,32279187,32282037,32282293,32282459,32285043,32285407,	32270020,32273781,32276189,32278798,32279087,32281967,32282186,32282389,32284926,32285243,32286705,
ENSDARG00000007250	0	chr22	-	11070842	11079068	11071964,11073679,11073795,11073902,11076046,11076224,11076478,	11073517,11073765,11073887,11075894,11076146,11076429,11078899,
ENSDARG00000038845	1	chr25	-	13473938	13490744	13474441,13478282,13478451,13479717,13484792,13485430,13486480,13488244,13488564,13490337,	13478171,13478361,13479590,13484664,13485231,13486321,13488103,13488423,13490225,13490566,
ENSDARG00000058692	1	chr17	-	8498782	8570367	8499067,8503030,8505496,8515477,8519114,8562768,	8502794,8505348,8514460,8518918,8562319,8569989,
ENSDARG00000059817	1	chr5	-	41105602	41124241	41106756,41108385,41109412,41110627,41112910,41113071,41113301,41113654,41113891,41114314,41116613,41116861,41117042,41121123,41121497,	41108227,41109236,41110458,41112840,41112993,41113177,41113557,41113822,41114191,41116526,41116725,41116970,41120984,41121440,41124098,
ENSDARG00000074150	1	chr12	-	46231498	46252062	46231895,46232349,46232706,46233161,46236139,46238109,46238311,46238912,46239374,46244046,46244534,46245083,46245237,46245736,46246751,46251691,46251838,	46232247,46232544,46232916,46235982,46237925,46238186,46238826,46238994,46243969,46244142,46244694,46245166,46245344,46246353,46251665,46251778,46252018,
ENSDARG00000011449	1	chr7	+	14211322	14266466	14211363,14217100,14221539,14229026,14234399,14237708,14241047,14243408,14248344,14249373,14250943,14251264,14254674,14257234,14257450,14258162,14260412,14262259,14263189,	14217038,14221292,14228853,14234303,14237525,14240910,14243289,14248222,14249184,14250863,14251055,14254552,14257181,14257332,14258068,14260289,14262102,14263058,14265761,
ENSDARG00000100481	0	chr10	-	35584647	35613752	35585843,35590134,35592926,35593144,35595496,35595803,35600284,35600542,35602555,35602786,35603238,35606551,35606749,35607292,35607702,35607909,35609657,35611874,	35590053,35592709,35593000,35595329,35595642,35600068,35600368,35602439,35602641,35603177,35606339,35606639,35607214,35607596,35607799,35609465,35609768,35613662,
ENSDARG00000052782	1	chr1	-	21423010	21483832	21423791,21439476,21447919,21449874,21464135,21470242,21473322,21473673,21477936,21478549,	21439327,21447771,21449722,21463995,21470160,21473096,21473606,21477830,21478433,21483389,
ENSDARG00000103424	1	chr15	+	9861973	9873144	9862027,9863750,9864535,9868997,9869339,9870234,9870474,	9863652,9864484,9868929,9869198,9870076,9870382,9872185,
ENSDARG00000059327	1	chr11	-	3847442	3860199	3848978,3850928,3854016,3858493,	3850803,3853859,3857921,3859765,
ENSDARG00000076297	1	chr7	-	34823533	34927961	34828431,34850520,34854052,34854372,34865949,34866227,34868573,34890859,34899988,	34849504,34853926,34854317,34865809,34866055,34868374,34890697,34898812,34927447,
ENSDARG00000041170	0	chr18	-	19812608	19819812	19813168,19814221,19815321,19815498,19815756,19817150,19817332,19817519,19817786,	19814172,19815217,19815408,19815677,19817067,19817243,19817417,19817596,19819606,
ENSDARG00000079586	1	chr14	+	22172047	22273847	22172236,22172426,22173099,22208626,22238897,22249441,22254302,22269037,22269620,	22172335,22173032,22208406,22238815,22249304,22254150,22268793,22269480,22271979,
ENSDARG00000104823	0	chr6	+	23887314	23889678	23887732,	23888160,
ENSDARG00000042510	1	chr20	+	28935413	28938730	28935930,28937940,	28937738,28938027,
ENSDARG00000027009	1	chr19	+	40861853	40898600	40862107,40872086,40885234,40887465,40889755,40890004,40892353,40895852,	40871966,40885105,40887359,40889588,40889831,40892192,40895702,40898235,
ENSDARG00000095024	0	chr2	+	57801960	57819139	57801984,57805190,57807139,57807346,57811334,57814706,	57805014,57807111,57807283,57811194,57814615,57818677,
ENSDARG00000060297	1	chr5	-	37864705	37881345	37867500,37870433,37870715,37870987,37871526,37875636,	37870328,37870584,37870910,37871385,37871667,37880658,
ENSDARG00000098367	1	chr17	+	10074360	10090026	10074417,10074921,10076259,10076430,10076591,10079614,10080248,10080388,10080628,10080857,10081039,10083908,10084101,10084305,10086756,10086955,	10074825,10076158,10076339,10076507,10079510,10080182,10080331,10080478,10080709,10080939,10083822,10084028,10084197,10086586,10086860,10089314,
ENSDARG00000086393	1	chr7	-	17024602	17028015	17025279,17026151,17027473,	17025949,17027372,17027566,
ENSDARG00000013526	1	chr7	+	24251367	24357169	24252427,24274716,24278014,24297294,24297593,24298562,24301763,24308826,24309049,24310312,24315231,24316083,24316365,24316542,24320143,24320500,24320907,24321164,24323891,24324811,24325468,24325893,24327559,24328791,24329066,24329667,24330753,24330990,24331237,24333492,24333957,24334312,24334977,24335633,24336079,24336939,24337744,24341842,24342165,24342425,24343115,24343485,24343764,24344499,24347367,24349595,24350391,24354111,	24274461,24277838,24297136,24297414,24298383,24301569,24308708,24308920,24310205,24315100,24315892,24316244,24316437,24319946,24320267,24320746,24321003,24323730,24324723,24325372,24325780,24327446,24328590,24328909,24329469,24330578,24330866,24331114,24333322,24333784,24334193,24334801,24335549,24335888,24336772,24337072,24339123,24341937,24342276,24343052,24343312,24343588,24344302,24347197,24349500,24350296,24354018,24356801,
ENSDARG00000058885	1	chr16	+	4497337	4512795	4497499,4497689,4498743,4499652,4501241,4505913,4506051,4510045,	4497606,4498568,4499473,4501029,4505808,4505947,4509922,4512324,
ENSDARG00000016343	1	chr1	-	466780	471925	467842,468657,470567,470807,	468449,470450,470650,471888,
ENSDARG00000011166	1	chr2	-	29477383	29485408	29478197,29481284,29481929,29482100,29482472,29484198,	29481129,29481867,29482008,29482354,29484001,29485012,
ENSDARG00000009336	0	chr5	+	34549365	34575502	34549555,34549817,34558795,34562254,34568948,	34549756,34558729,34562213,34568786,34573780,
ENSDARG00000051926	1	chr7	+	58736889	58743802	58737224,	58739236,
ENSDARG00000019842	1	chr19	-	10252052	10286228	10255900,10260442,10260789,10264737,10266176,10270005,10270663,10273366,10273508,10273838,10274138,10276321,10282005,10282900,10283297,10285961,	10260317,10260657,10264539,10266080,10269864,10270555,10272499,10273455,10273711,10273919,10276226,10281877,10282811,10283223,10285894,10286165,
ENSDARG00000104024	0	chr3	-	12893141	12903609	12894307,12894647,12896017,12898369,12902223,	12894568,12895941,12898159,12902096,12903440,
ENSDARG00000055588	1	chr12	-	13564357	13650344	13565522,13565729,13591647,13596137,13596367,13596534,13599230,13603763,13603996,13605176,13608517,13608759,13613649,13613866,13615502,13615704,13618970,13622096,	13565625,13591590,13595982,13596225,13596440,13599024,13603671,13603874,13605086,13608338,13608604,13613498,13613736,13615328,13615615,13618814,13621961,13650231,
ENSDARG00000076239	1	chr7	-	8890366	8961941	8894989,8898737,8909500,8924616,8950402,	8898612,8909362,8924480,8950304,8961766,
ENSDARG00000012656	1	chr20	-	33809434	33864804	33811758,33822288,33829841,33832029,33835613,33837442,33839912,33840150,33840721,33856501,33859966,33860197,33862527,33862818,33863999,	33822204,33829730,33831959,33835514,33837332,33839778,33840059,33840536,33856320,33859766,33860071,33862430,33862731,33863920,33864606,
ENSDARG00000015314	0	chr5	-	22073710	22082918	22074687,22078064,22078468,22082081,	22077902,22078296,22081910,22082668,
ENSDARG00000061169	1	chr17	+	26753967	26802816	26754701,26763449,26766159,26771199,26775542,26776791,26781052,26781338,26782054,26784276,26790682,26791110,26792384,26792633,26792922,26793715,26800831,	26763388,26766100,26770974,26775420,26776629,26780908,26781164,26781816,26783914,26790565,26790950,26792278,26792470,26792778,26793606,26800704,26800974,
ENSDARG00000100047	1	chr14	+	15768942	15814987	15769095,15784594,15791611,15794309,15800652,15801082,15801803,15805033,15808100,	15784533,15791539,15794215,15800528,15800978,15801743,15804933,15807978,15812469,
ENSDARG00000022684	1	chr8	-	49169770	49172485	49170108,49170506,49171379,49172121,	49170357,49171267,49172074,49172331,
ENSDARG00000068934	1	chr13	+	42011287	42016479	42012456,	42015228,
ENSDARG00000052623	1	chr13	+	45980163	46000113	45980340,45981013,45984320,45984659,45987140,45987328,45989235,45991323,45991835,45995414,	45980956,45984204,45984492,45987086,45987213,45989167,45991236,45991416,45995311,45999363,
ENSDARG00000022845	0	chr1	+	23274710	23283468	23274860,23275347,23276898,23277631,23277927,23279702,23279910,23280452,23280626,23281088,	23275160,23276805,23277551,23277771,23279645,23279782,23280307,23280556,23280977,23283064,
ENSDARG00000028542	0	chr5	+	24128908	24135569	24129132,24130108,24130867,24131868,24133853,24134203,24134338,24134524,24134771,	24130047,24130196,24131230,24133723,24134110,24134293,24134450,24134619,24134944,
ENSDARG00000023999	1	chr17	+	28624321	28670042	28624499,28628529,28629875,28630099,28630931,28632536,28632935,28635423,28635661,28637280,28638030,28638852,28639132,28639375,28640415,28640702,28642097,28642390,28642627,28643799,28644082,28649542,28652449,28654311,28655000,28655333,28657024,28657544,28658669,28659523,28660721,28661716,28662067,28666164,28666393,28667945,	28628327,28629664,28629991,28630782,28632365,28632778,28635174,28635506,28637030,28637919,28638700,28639033,28639266,28640252,28640539,28641992,28642200,28642468,28643610,28643913,28649516,28652305,28654132,28654764,28655155,28656956,28657365,28658447,28659284,28660594,28661569,28661795,28665940,28666242,28667735,28668375,
ENSDARG00000021351	1	chr21	-	19013850	19018455	19015785,19016710,	19016586,19017351,
ENSDARG00000037091	1	chr14	+	30272891	30278408	30272995,30273149,30273359,30273902,30274105,30274287,30274434,30274665,30274812,30275252,30276341,30276555,30277127,	30273106,30273269,30273819,30274027,30274213,30274389,30274521,30274758,30275171,30276210,30276432,30277071,30277521,
ENSDARG00000073713	1	chr2	+	15776408	15945153	15776925,15790392,15864717,15900187,15923436,15923693,	15789821,15864074,15900015,15923410,15923649,15942289,
ENSDARG00000042332	1	chr15	+	17030473	17048822	17030978,17031159,17032815,17032988,17040688,17043649,17043864,	17031117,17032620,17032906,17040403,17043465,17043736,17048197,
ENSDARG00000104571	1	chr6	+	23935045	23939154	23935200,23935658,23936595,	23935557,23936382,23938434,
ENSDARG00000038941	1	chr9	+	44430705	44487210	44431343,44444041,44469057,44469334,44483667,	44443981,44469023,44469268,44483464,44485587,
ENSDARG00000094146	1	chr20	-	43527890	43533096	43528101,43528508,43528803,43529544,43529974,43531294,	43528420,43528627,43529166,43529832,43530287,43532939,
ENSDARG00000035889	1	chr19	-	32505747	32518556	32506055,32510167,32516076,	32510010,32515022,32518460,
ENSDARG00000094820	0	chr5	-	38771779	38777852	38772533,38772972,38773495,38773829,38776527,	38772874,38773341,38773719,38776525,38777756,
ENSDARG00000029057	1	chr22	+	17784414	17823608	17784877,17790656,17799301,17799498,17803029,17803227,17803402,17807756,17810447,	17790553,17799204,17799395,17802947,17803103,17803301,17807664,17810328,17819307,
ENSDARG00000099554	0	chr6	-	23891230	23931442	23891238,23892605,23897021,23900369,23900592,23900780,23901479,23901730,23903977,23904239,23908928,23909126,23909331,23916048,23916749,23919097,23919412,23920555,23923933,23924165,23927675,23927870,23928049,23929631,	23892571,23896928,23900277,23900500,23900755,23901135,23901652,23903864,23904102,23908823,23909015,23909214,23915967,23916652,23918855,23919274,23920494,23923788,23924045,23927588,23927768,23927949,23929337,23931082,
ENSDARG00000005141	1	chr11	+	35364445	35441348	35364618,35423792,35424864,35427967,35430382,35432557,35432834,35434402,35434568,35436528,	35423685,35424733,35427893,35430244,35432437,35432759,35434266,35434490,35436441,35436628,
ENSDARG00000105288	1	chr18	-	333679	399554	336789,338252,338468,341489,344670,346879,348033,348671,350787,353132,357025,357583,358263,370566,	338174,338331,341324,344160,346390,347908,348574,350629,352971,356930,357443,358063,369433,399363,
ENSDARG00000076659	1	chr19	-	2569150	2582858	2569530,2570740,2571558,2571954,2575140,2575329,2577052,2578631,2580621,	2570604,2571409,2571811,2574970,2575267,2576693,2578512,2580532,2582715,
ENSDARG00000045011	1	chr19	-	7065988	7070691	7066531,7066662,7066884,7067806,7069086,7069908,7070415,	7066643,7066786,7067483,7068727,7069660,7070221,7070501,
ENSDARG00000029370	1	chr20	-	1203238	1239596	1203303,1203613,1204364,1204742,1205994,1206846,1208942,1209152,1211599,1211633,1212464,1213802,1214408,1214631,1215017,1216850,1222172,1230257,	1203403,1203870,1204466,1205881,1206694,1208772,1209030,1211531,1211601,1212387,1213704,1214310,1214533,1214919,1216752,1222074,1230002,1239476,
ENSDARG00000078167	1	chr4	-	44470710	44509477	44471239,44471594,44473803,44499904,44500201,44506597,44507328,44507970,44508655,	44471548,44473630,44499731,44500028,44504830,44507136,44507886,44508551,44509427,
ENSDARG00000054827	1	chr22	-	31004735	31020690	31004885,31005706,31008951,31009134,31009458,31009601,31009800,31011910,31012118,31019661,31019865,31020248,	31005599,31008846,31009042,31009370,31009539,31009682,31011850,31011989,31019592,31019776,31020199,31020573,
ENSDARG00000062900	1	chr19	+	9004277	9017910	9004412,9007157,9007534,9009163,9009773,9010433,9012510,9014792,	9007099,9007468,9008946,9009705,9010361,9012417,9014677,9017517,
ENSDARG00000056027	1	chr3	+	23687909	23690481	23688711,	23689468,
ENSDARG00000105380	1	chr14	+	30279391	30283897	30279557,30280432,30280695,30280913,30281184,30281993,	30280258,30280536,30280816,30281096,30281806,30283583,
ENSDARG00000088171	0	chr25	-	26669680	26673570	26669756,26670756,	26670273,26673189,
ENSDARG00000059811	1	chr16	+	53519048	53542242	53519227,53530679,53536625,53537341,53537706,53538820,53539411,	53529609,53536550,53537201,53537617,53538757,53539261,53541771,
ENSDARG00000006112	1	chr12	-	10517473	10567188	10517921,10518153,10518348,10520004,10520185,10520402,10521789,10521950,10522206,10524520,10524782,10524961,10525233,10526674,10527837,10527959,10530540,10533364,10533666,10534683,10534930,10535334,10535494,10535670,10535927,10536136,10538020,10538579,10539303,10539512,10539756,10542778,10543015,10543905,10544173,10544392,10544666,10546002,10546365,10546525,10546707,10549195,10552627,10552750,10552895,10553074,10553446,10553673,10555516,10556700,10566606,10566844,	10518006,10518239,10519817,10520086,10520261,10521694,10521862,10522067,10524372,10524612,10524870,10525078,10526546,10527739,10527951,10530464,10533199,10533505,10534582,10534772,10535153,10535417,10535574,10535757,10536000,10537918,10538465,10539140,10539381,10539601,10542586,10542906,10543781,10543996,10544279,10544542,10545920,10546322,10546457,10546604,10549069,10552512,10552720,10552845,10553012,10553318,10553540,10555423,10556592,10566515,10566789,10566936,
ENSDARG00000046081	1	chr20	+	7584211	7593106	7584394,7589054,7589272,7590438,	7588938,7589153,7590334,7592614,
ENSDARG00000070704	1	chr19	-	24126775	24135824	24131204,24134043,24134309,24135098,	24133927,24134154,24135019,24135696,
ENSDARG00000079980	1	chr1	+	54626491	54637378	54626543,54626857,54629727,54634642,	54626748,54629656,54634501,54637067,
ENSDARG00000091888	0	chr21	-	22706253	22709251	22706520,22706838,22708591,22708919,	22706609,22708469,22708738,22709139,
ENSDARG00000016904	1	chr5	+	61508418	61554010	61508778,61511961,61513753,61517292,61526305,61526525,61531350,61538102,61543475,61548890,	61511893,61513643,61517245,61526186,61526427,61531277,61537974,61543386,61548735,61552437,
ENSDARG00000079823	0	chr8	-	17163494	17167830	17163879,17164313,17166143,17166581,	17164105,17166080,17166513,17167693,
ENSDARG00000004866	1	chr19	+	7453996	7478597	7454223,7456943,7461234,7465512,7468667,7468843,7471657,7474299,7476906,	7455941,7461177,7465448,7468509,7468741,7471515,7474105,7476757,7478074,
ENSDARG00000102379	1	chr14	-	30922402	30945515	30922491,30925285,30925686,30927470,30928037,30929947,30932373,	30925141,30925520,30927346,30927923,30929519,30932176,30945129,
ENSDARG00000056030	1	chr3	+	23691847	23695980	23692270,	23695502,
ENSDARG00000102969	1	chr14	-	33382032	33387288	33382147,33382774,33383044,33383539,33383838,33385256,	33382686,33382868,33383161,33383693,33384459,33386996,
ENSDARG00000102796	1	chr18	-	336443	341489	336789,338252,338468,	338174,338331,341324,
ENSDARG00000058354	1	chr2	-	9684305	9696283	9684963,9689854,9690792,9691342,9694512,	9689687,9690705,9691216,9694402,9696136,
ENSDARG00000011845	1	chr16	-	20318400	20492799	20318571,20319067,20324934,20325234,20328219,20354545,20371409,20402268,20403067,20412789,20413073,20435475,	20318962,20324797,20325157,20328046,20354461,20371323,20401998,20402954,20412758,20413018,20435437,20492247,
ENSDARG00000089109	1	chr2	-	13185302	13216269	13188226,	13215178,
ENSDARG00000035148	1	chr5	+	61556172	61571447	61556240,61566852,	61566617,61570875,
ENSDARG00000025912	1	chr14	+	6159356	6175684	6159635,6162015,6162608,6164682,6166265,6168998,6172858,	6161931,6162465,6164548,6166168,6168869,6172774,6175222,
ENSDARG00000096109	1	chr4	-	44514525	44522027	44514609,44518197,44518623,	44518093,44518512,44521973,
ENSDARG00000020204	1	chr5	-	11724428	11809710	11727932,11739324,11741866,11745790,11752519,11752728,11755435,11758929,11760615,11760833,11763525,11768676,11771925,11777705,11791970,11795141,	11739165,11741739,11745685,11752419,11752612,11755313,11758816,11760541,11760699,11763450,11768594,11771857,11777622,11791848,11795016,11808663,
ENSDARG00000105201	1	chr2	+	50862527	50891944	50862655,50866837,50870772,50872399,50872586,50876297,50882463,50885725,	50866684,50870712,50872330,50872495,50876214,50882334,50885684,50891521,
ENSDARG00000062820	1	chr19	-	11247054	11248982	11247768,11248537,	11247970,11248936,
ENSDARG00000052118	1	chr7	-	50475703	50517023	50477691,50478701,50480575,50481535,50482590,50483465,50486330,50500846,50501066,50504633,50506888,50513713,50516579,	50478630,50480468,50481334,50482427,50483382,50486207,50500719,50500961,50504573,50506737,50513641,50516034,50516933,
ENSDARG00000060805	1	chr22	-	36794438	36829006	36796041,36798447,36803593,36805560,36806323,36820531,	36798233,36800461,36805420,36806241,36820430,36828850,
ENSDARG00000097473	0	chr18	+	46162206	46168215	46162369,	46164690,
ENSDARG00000004931	1	chr13	-	36196778	36264861	36197360,36201090,36206241,36206458,36223876,	36200818,36206142,36206334,36223770,36263090,
ENSDARG00000017537	1	chr1	+	6171585	6182518	6171865,6173523,6173734,6175186,6175328,6176806,6177337,6178810,6179556,	6173487,6173628,6175105,6175270,6176761,6177283,6178684,6179391,6182330,
ENSDARG00000057529	0	chr20	+	14941264	14949443	14941334,14944129,14944285,14944438,14945507,14945841,14947204,	14944072,14944221,14944365,14945476,14945729,14947128,14949182,
ENSDARG00000102572	1	chr7	+	46004893	46011248	46005051,46006184,	46006049,46009011,
ENSDARG00000045788	1	chr4	-	9207722	9214288	9211129,	9212523,
ENSDARG00000104108	1	chr4	-	77389668	77432218	77390991,77400515,77400677,77402143,77402855,77407585,77408029,77408556,77413882,77416680,77423170,77425187,77426894,	77400398,77400613,77401959,77402690,77407390,77407865,77408293,77413784,77416534,77423043,77425055,77426753,77432168,
ENSDARG00000042513	1	chr20	-	28946709	28956303	28947340,28947659,	28947457,28955783,
ENSDARG00000027109	1	chr5	-	41124736	41142768	41126343,41127160,41127448,41128871,41129800,41132848,41133446,41133746,41134058,41134278,41134482,41134768,41135157,41136845,41137429,41137983,41138466,41138939,41142496,	41127063,41127337,41128776,41129703,41132707,41133296,41133529,41133893,41134133,41134363,41134575,41134869,41136645,41137191,41137759,41138322,41138657,41142415,41142713,
ENSDARG00000044815	1	chr7	+	50448478	50477289	50448546,50453508,50457948,50458691,50459785,50461498,50464545,50469554,50469713,50471051,50471293,	50453341,50457770,50458612,50459692,50461287,50464450,50469428,50469641,50471012,50471146,50474636,
ENSDARG00000018351	1	chr5	+	2815021	2852285	2815067,2824044,2824188,2830554,2831421,2832901,2833427,2834325,2838636,2839977,2843453,2843659,2845466,	2824018,2824126,2830450,2831379,2832819,2833338,2834219,2838559,2839815,2843382,2843537,2845350,2851617,
ENSDARG00000095409	1	chr12	-	46152983	46176115	46153303,46153552,46153929,46154418,46154715,46155344,46155546,46156160,46156622,46157264,46157774,46161792,46164460,46164966,46169790,46171304,46171804,46174696,46175634,	46153450,46153767,46154173,46154558,46155160,46155421,46156086,46156242,46157193,46157376,46161406,46164392,46164577,46169384,46171221,46171399,46174304,46175563,46175726,
ENSDARG00000003641	0	chr9	+	30112423	30128760	30112553,30114889,30115197,30119458,30120432,30121240,30126164,	30114702,30115114,30119312,30120283,30121085,30126081,30127829,
ENSDARG00000012942	1	chr9	+	22677503	22748014	22677847,22678026,22678470,22679695,22680043,22683195,22687555,22694702,22695724,22697706,22707517,22736779,22739074,22742363,22744043,	22677939,22678385,22679488,22679794,22683027,22687394,22694607,22695635,22697572,22707088,22736557,22738974,22742244,22743877,22747323,
ENSDARG00000039007	1	chr23	+	44614056	44625579	44614140,44614390,44615809,44616902,44617657,44618542,44620936,44621704,44622841,44622983,	44614295,44615751,44616833,44617524,44618320,44620739,44621503,44622733,44622925,44623627,
ENSDARG00000090981	0	chr14	-	30955683	30960470	30956003,30956294,30957830,30958047,30960247,	30956176,30957765,30957925,30960161,30960436,
ENSDARG00000091683	1	chr1	-	51593884	51606552	51594892,51604938,	51604794,51606287,
ENSDARG00000088950	0	chr23	+	12198242	12228363	12198310,12198446,12198664,12205614,12206750,12207172,12207364,12207495,12207603,12207744,12208001,12209502,12210143,12210583,12210979,12213876,12214015,12214281,12217299,12218122,12218375,12218566,12221937,12223512,12227757,	12198398,12198561,12205325,12206650,12207136,12207291,12207453,12207569,12207687,12207839,12209438,12209970,12210280,12210741,12213661,12213961,12214117,12217162,12217977,12218281,12218467,12221879,12223434,12227701,12227855,
ENSDARG00000100912	0	chr7	-	46009862	46019756	46010099,46015829,46016085,46016344,46019218,	46015702,46015935,46016164,46019136,46019297,
ENSDARG00000000796	1	chr23	-	32149269	32194397	32152709,32153789,32154072,32154538,32155357,32156240,32191368,	32153611,32153870,32154375,32155228,32155447,32191071,32194297,
ENSDARG00000043757	1	chr10	-	11146321	11261565	11146621,11148433,11149530,11152877,11153267,11155707,11161240,11166827,11174454,11178661,11181265,11183369,11203164,	11148356,11149314,11152785,11153234,11155568,11161166,11166653,11174344,11178494,11181119,11183200,11203086,11261383,
ENSDARG00000036995	1	chr1	+	36194781	36203999	36195070,36195269,36200018,	36195171,36199905,36203777,
ENSDARG00000027078	0	chr1	+	6161930	6169817	6162152,6162989,6165221,6165432,6166553,6166714,6167493,	6162887,6165140,6165312,6166425,6166653,6167376,6168250,
ENSDARG00000094226	1	chr20	-	43567760	43572763	43567831,43568436,43568730,43569471,43569742,43570297,43571043,	43568348,43568554,43569093,43569600,43570063,43570829,43572425,
ENSDARG00000093978	1	chr8	-	19253205	19266413	19253809,19257305,19258827,19259089,19261236,	19257198,19258706,19258984,19261033,19266291,
ENSDARG00000075397	1	chr17	+	44756247	44761580	44756408,44756999,44758153,	44756884,44757984,44760262,
ENSDARG00000055712	1	chr5	-	30081241	30088070	30081750,30084973,30087723,	30084835,30087613,30087905,
ENSDARG00000058958	1	chr3	-	5349390	5361959	5350035,5352920,5353256,5353442,	5352802,5353003,5353347,5361353,
ENSDARG00000019293	1	chr9	+	34950942	34968429	34951028,34955068,34955209,34955442,34959571,34962485,34962778,34962969,34963197,34964943,34965128,	34954984,34955143,34955339,34959450,34962320,34962632,34962901,34963046,34964777,34965047,34967361,
ENSDARG00000013415	1	chr16	-	30520357	30570161	30525553,30527783,30529548,30529738,30530602,30531510,30534362,30536077,30536325,30537765,30563128,	30527724,30529429,30529631,30530317,30531290,30534237,30535907,30536200,30537609,30562761,30569491,
ENSDARG00000052775	1	chr13	+	42245221	42265585	42245551,42253588,42264473,	42253269,42264222,42265302,
ENSDARG00000056279	1	chr8	-	36541949	36554732	36543882,36546017,36547202,36547526,36549711,36550065,36552697,36552976,	36545855,36547026,36547357,36549634,36549852,36552269,36552814,36554318,
